Location,Region Name,Zone Name,lat,lng,Number of staff,Number of Doctors,Percentage of underweight Children,Proportion of children 6-59 months with severe acute malnutrition,Proportion of HHs using latrine,Malaria rate,Proportion of  households covered with mosquito bed nets(LLIN),Proportion of functional 1 to 5 networks,Health budget utilization,Essential drugs availability,Integrated Supportive supervision,Reporting completeness
mereb leke,tigray,tigray,14.3677399476,38.755385504,49.0,0.0,6059.59139252,3853.52950668,26301.5163574,21.6881885376,861.773254395,36651.4764404,6.11160755157,1818.0,4098.3332901,14544.639679
merhabete,amhara,north shoa,10.048545526,38.9705584535,160.0,0.0,5970.71694922,2090.04812288,12193.4005737,20.4068988647,657.914733887,36515.6517944,142.308349609,2267.0,19266.666748,19800.0
mesela,oromiya,west hararge,8.98253433734,41.1872547201,39.0,0.0,7540.81351566,4859.44538879,6611.32785034,2.39104884839,291.774169922,14692.5469284,200.0,1341.0,3760.17315674,10193.2493744
meskan,snnpr,gurage,8.11687284105,38.3920256781,271.0,3.0,1308.57413483,741.266011238,17835.4008789,3.38557459068,789.643188477,32893.3079834,356.917236328,1039.5,11665.5858154,5382.30117035
meta robi,oromiya,west shoa,9.45937329036,38.2366934218,141.0,0.0,6993.81906891,1946.35591412,217866.822525,13.2322111511,2000.0,66089.0505371,595.0,1618.0,41566.6665039,15008.333313
metema,amhara,north gondar,12.7499255692,36.4290842859,190.0,0.0,2491.83608627,903.612351328,13614.1254883,27.4220148315,1744.58935547,25443.6696167,280.539978027,1465.0,4983.33325195,12088.1410828
methehara,oromiya,east shewa,8.898978,39.917171,38.0,0.0,203.312019348,341.287773639,469.446426392,0.320181511879,200.0,117.236114502,200.0,614.0,1300.0,14920.0
metta,oromiya,east hararge,9.35487475383,41.59542468,164.0,0.0,12849.5427246,3182.60513878,124777.655518,1.9046353898,2499.24194336,71965.9633789,127.34375,2948.0,16017.0938721,29472.791748
metu town,oromiya,ilu ababor,8.297301,35.581772,0.0,0.0,272.251430035,34.6666654348,14350.9801255,2.53310713053,749.162506103,2066.03527069,200.0,317.0,0.0,2516.66666603
metu,oromiya,ilu ababor,8.33187125221,35.4148920508,60.0,0.0,489.094520569,285.638369858,14350.9801255,4.84257697868,772.823669434,25875.7358704,100.0,1307.0,2675.0,8700.0
mi'eso,oromiya,west hararge,9.17793046597,40.5638322872,209.0,0.0,19768.9577942,6653.79921722,62676.5984497,18.4181083069,1754.48474121,39166.6296387,100.0,1369.0,13972.2220459,15632.9333878
mida kegn,oromiya,west shoa,9.2028629228,37.5919809229,44.0,0.0,6303.20540619,2412.97747517,76465.3827515,25.7287507324,1111.39868164,15666.4671173,127.085250854,791.0,4241.66665649,6851.43270874
midaworemo,amhara,north shoa,10.2438815706,39.0085280007,123.0,0.0,6472.04506683,2899.02484703,377209.775024,9.64650266266,749.162506103,26611.4696655,285.956939697,1121.0,19112.5,11400.0
midhega,oromiya,east hararge,8.72758981601,42.137980931,78.0,0.0,9114.21378326,7576.01268387,12420.7227783,3.81291558838,1900.0,16882.523407,200.0,936.0,13900.0,5833.33332825
mihuraklil,snnpr,gurage,8.20113717979,38.0934145439,148.0,0.0,173.632140815,170.186443694,30717.5248413,1.90209881783,308.391860962,20985.3799744,282.538894653,1039.5,4490.24772644,4786.64501953
miisrak belesa,amhara,north gondar,12.5354607286,38.1825712363,119.0,0.0,12362.4935913,2840.93059921,15752.1524658,22.7097062073,1604.62231445,13401.3343697,352.612823486,1494.0,10681.6663818,11332.8571777
mille,afar,afar,11.2912850279,40.9259870067,106.0,0.0,2589.92435837,2245.95265388,34.7222213745,8.66655523682,749.162506103,100.0,200.0,808.0,75.0,566.666656494
minjar,amhara,north shoa,8.91539587807,39.4947197104,24.0,0.0,1228.70218146,3882.95258009,10364.5361938,3.71964891511,289.408081055,23575.0010986,497.371795654,1658.0,16583.333252,10594.3361816
mirab abaya,snnpr,gamo gofa,6.30966420331,37.7346664305,217.0,21.0,25.7845990658,6.92210855335,1017.65600586,0.338185138226,131.843978882,1991.799366,2508.25244904,1039.5,507.179607391,2395.83333588
mirab armachiho,amhara,north gondar,13.2344710363,36.448759614,101.0,0.0,2128.72079372,1250.21910858,6099.8581543,11.8636656952,100.0,15938.9670544,83.4675750732,844.0,200.0,24176.9230804
